date,CL1,CL6
1991-05-23,21.02,20.75
1991-05-24,21.19,20.45
1991-05-28,21.33,20.57
1991-05-29,21.11,20.69
1991-05-30,21.32,20.51
1991-05-31,21.13,20.45
1991-06-03,21.13,20.48
1991-06-04,21.02,20.31
1991-06-05,20.47,20.1
1991-06-06,20.33,20.24
1991-06-07,20.28,20.17
1991-06-10,19.84,20.02
1991-06-11,19.96,20.13
1991-06-12,20.05,20.11
1991-06-13,19.71,20.41
1991-06-14,19.67,20.38
1991-06-17,19.94,20.47
1991-06-18,20.13,20.49
1991-06-19,19.99,20.33
1991-06-20,20.15,20.37
1991-06-21,20.23,20.59
1991-06-24,19.98,20.71
1991-06-25,20.05,20.9
1991-06-26,20.08,20.71
1991-06-27,20.48,20.95
1991-06-28,20.56,20.84
1991-07-01,20.76,20.89
1991-07-02,20.82,21.23
1991-07-03,20.67,21.13
1991-07-05,20.89,21.46
1991-07-08,21.24,21.33
1991-07-09,21.29,20.85
1991-07-10,21.43,20.99
1991-07-11,21.29,20.82
1991-07-12,21.72,20.83
1991-07-15,21.47,20.84
1991-07-16,21.65,21.06
1991-07-17,22.14,21.17
1991-07-18,21.94,20.82
1991-07-19,22.16,20.86
1991-07-22,21.72,20.95
1991-07-23,21.32,20.86
1991-07-24,21.52,20.88
1991-07-25,21.46,20.92
1991-07-26,21.48,20.96
1991-07-29,21.35,21.06
1991-07-30,21.42,21.06
1991-07-31,21.68,21.03
1991-08-01,21.27,21.16
1991-08-02,21.32,20.98
1991-08-05,21.47,21.69
1991-08-06,21.37,21.66
1991-08-07,21.36,20.95
1991-08-08,21.58,21.13
1991-08-09,21.62,21.17
1991-08-12,21.69,21.29
1991-08-13,21.58,21.37
1991-08-14,21.27,21.2
1991-08-15,21.44,21.35
1991-08-16,21.30,21.53
1991-08-19,22.47,21.5
1991-08-20,22.27,21.24
1991-08-21,21.55,21.2
1991-08-22,21.72,21.17
1991-08-23,21.81,20.97
1991-08-26,21.97,21.02
1991-08-27,21.98,21.17
1991-08-28,21.74,21.03
1991-08-29,21.97,21.12
1991-08-30,22.26,21.18
1991-09-03,22.24,21.01
1991-09-04,21.81,21.15
1991-09-05,21.69,21.1
1991-09-06,21.57,21.18
1991-09-09,21.33,21.18
1991-09-10,21.41,21.38
1991-09-11,21.64,21.38
1991-09-12,21.53,21.35
1991-09-13,21.68,21.41
1991-09-16,21.82,21.38
1991-09-17,21.62,21.42
1991-09-18,21.84,21.5
1991-09-19,21.76,21.73
1991-09-20,21.97,21.63
1991-09-23,22.07,21.89
1991-09-24,22.19,21.92
1991-09-25,22.21,21.98
1991-09-26,22.21,21.88
1991-09-27,22.32,22
1991-09-30,22.23,22.21
