date,HG1,HG6
2026-05-18,631.55,664.75
2026-05-15,629.5,662.6
2026-05-14,661.15,694.3
2026-05-13,667.9,701.05
2026-05-12,653.1,686.15
2026-05-11,646.05,678.9
2026-05-08,629.65,662
2026-05-07,617.6,649.5
2026-05-06,618.65,650.75
2026-05-05,599.3,631.15
2026-05-04,584.65,616.2
2026-05-01,598.45,629.6
2026-04-30,598.05,629.3
2026-04-29,593.3,624.35
2026-04-28,597.4,628.15
2026-04-27,607.9,638.75
2026-04-24,608.85,639.7
2026-04-23,614.25,644.9
2026-04-22,618.9,649.8
2026-04-21,607.15,637.9
2026-04-20,610.65,641.15
2026-04-17,617.35,648
2026-04-16,613.45,644
2026-04-15,614.5,644.85
2026-04-14,614.35,644.6
2026-04-13,604.95,635.2
2026-04-10,594.35,624.3
2026-04-09,576.45,608
2026-04-08,577.7,608.8
2026-04-07,556.3,586.95
2026-04-06,560.1,590.9
2026-04-03,558.35,589.25
2026-04-02,558.35,589.25
2026-04-01,564.65,595.45
2026-03-31,561.4,591.85
2026-03-30,550.2,581.25
2026-03-27,549.45,580.35
2026-03-26,547.7,578.9
2026-03-25,556.1,587.15
2026-03-24,545.5,576.55
2026-03-23,547.25,577.9
2026-03-20,537.45,568.2
2026-03-19,546.9,578.1
2026-03-18,559.4,590.5
2026-03-17,576.7,608.1
2026-03-16,583.15,614.7
2026-03-13,575.7,607.35
2026-03-12,586.8,618.25
2026-03-11,589.15,620.3
2026-03-10,595.2,626
2026-03-09,584.85,615.8
2026-03-06,580.7,611.85
2026-03-05,580.45,611.8
2026-03-04,590.75,621.9
2026-03-03,582.6,613.95
2026-03-02,594.8,626.3
2026-02-27,605.95,637.05
2026-02-26,600.5,631.8
2026-02-25,604.5,635.2
2026-02-24,599.15,629.45
2026-02-23,584.1,613.95
2026-02-20,589.95,620.1
2026-02-19,579.85,609.6
2026-02-18,586.3,615.6
2026-02-17,570.4,599.8
2026-02-13,586.25,615.45
